oŋɡikaro kora	to promise ; to give an undertaking
oŋɡikɽit̪	promised ; accepted
oŋɡib̤ut̪	embodied ; included
oŋɡib̤ut̪o kora	to embody ; to include
oŋɡuri	a ring
oŋɡul̪aŋko	finger-print
oŋɡul̪aŋko-biɕarod̪	a finger-print expert
oŋɡul̪i	a finger or a toe
oŋɡul̪i-ɡoron̪ɦi	finger-joint, knuckle
oŋɡul̪it̪ro	a thimble ; a covering for the finger tip
oŋɡul̪in̪ird̪eɕ	a beck
oŋɡul̪in̪ird̪eɕo kora	to beck
oŋɡul̪imee̯	very few in number
oŋɡul̪imton̪	snapping of the finger
oŋɡul̪is̪oŋket̪o kora	to beck
oŋɡul̪i	Finger
oŋɡul̪ie̯ok	an ornamental ring for the finger
oŋɡuʂtʰo	the thumb
oŋɡuʂtʰoprod̪orɕon̪	showing one's thumb ; awkward or point-blank refusal
oŋɡuʂtʰan̪a	a thimble, a thumbstall
ot͡ɕkit̪	not frightened or alarmed
ot͡ɕokʂu	eyeless, blind
ot͡ɕont͡ɕol̪	inanimate
ot͡ɕt̪ur	incompetent
ot͡ɕpol̪	steady ; firm
ot͡ɕor	motionless, immobile ; stationary, static
ot͡ɕrit̪art̪ʰo	ungratified, unfulfilled, un satisfied
ot͡ɕort͡ɕit̪	not practised or studied ; not anointed, unsmeared
ot͡ɕorbit̪	not chewed or masticated
ot͡ɕorbd͡zo	not fit to be chewed
ot͡ɕol̪	motionless, immobile ; stationary, static
ot͡ɕol̪	a mountain, a hill
ot͡ɕl̪ot̪oɽit̪	static electricity
ot͡ɕl̪on̪	obsoleteness
ot͡ɕl̪on̪ie̯	incapable of being introduced or circulated
ot͡ɕl̪a	the earth
ot͡ɕl̪ae̯ot̪on̪	an incorrigibly reactionary or conservative institution
ot͡ɕl̪ae̯ot̪on̪	Static ; unchanging
ot͡ɕl̪it̪	not in vogue or practice ; obsolete
ot͡ɕl̪iʂnu	motionless, immobile
ot͡ɕant͡ɕol̪d͡zo	absence of restlessness, calm ; firmness
ot͡ɕal̪n̪ie̯	incapable of being conducted or transferred
ot͡ɕikit̪s̪ok	a quack doctor
ot͡ɕikit̪s̪on̪ie̯	incurable, irremediable ; incapable of being redressed
ot͡ɕikit̪s̪a	lack of medical treatment ; bad or faulty medical treatment
ot͡ɕikit̪s̪it̪	not treated medically
