०	0
अनैतिक	unscrupulous, unprincipled
अनैतिकता	wickedness, darkness
अनोखा	inimitable, fancy
अनोखापन	quaintness
अनोखी	extraordinary
अनौखा	unrepeatable
अनौचित्य	incorrectness, unjustness
अनौपचारिक	informal, ad hoc
अनौपचारिकता	informality
अनंत	endless, infinite
अनंत	infinity
अनंतता	infiniteness, infinitude
अनंतर	immediate
अनंतिम	provisional
अन्जान	unconscious
अन्त	finish
अन्ततोगत्वा	ultimately
अन्ततः	as things turned out, in the last resort
अन्तर	gap, distinction
अन्तरात्मा	conscience, soul
अन्तराल	gap, space
अन्तरिक्ष	space, sky
अन्तरंग	familiar
अन्तर्जलीय	underwater, subaquatic
अन्तर्दृष्टि	reason, insight
अन्तर्धान	disappearance
अन्तर्धान	vanish
अन्तर्निहित	inbuilt, built-in
अन्तर्मुखी	withdrawn
अन्तर्यामी	omniscient
अन्तर्राज्यीय	domestic
अन्तस्थ	interior
अन्तहीन	boundless, endless
अन्तिम	final
अन्तः	inspiration, hypo
अन्तःकरण	breast, conscience
अन्त्येष्टि	funeral
अन्त्येष्टि	funeral
अन्दर	under
अन्दर	at home
अन्दरूनी	inward
अन्दाज़ा	surmise, estimation
अन्ध	implicit
अन्धकार	dark, gloom
अन्धता	cecity
अन्धविश्वास	superstition
अन्धा	eyeless, sightless
अन्धाधुन्ध	headlong, breakneck
अन्धाधुन्ध	headlong
अन्धाधुंध	wholesale
अन्धापन	blindness, cecity
अन्धेर	lawlessness
अन्न	food, cereal
अन्नदाता	providence, provider
अन्नपूर्णा	Annapurna, Anapurna
अन्नमय	cereal
अन्य	else
अन्य	other, second
अन्यत्र	elsewhere
अन्यथा	or, otherwise
अन्यथा	otherwise
अन्यमनस्क	distracted, scatty
अन्यमनस्कता	absorption, abstractedness
अन्याय	wrong, wrongdoing
अन्यायपूर्ण	wrong, violent
अन्यायपूर्वक	wrongfully
अन्यायी	wrongdoer
अन्यायी	inequitable, tyrannical
अन्योक्ति	allegory, metaphor
अन्योन्याश्रय	correlational
अन्योन्याश्रय	correlation
अन्योन्याश्रित	complementary
अन्वय	government, agreement
अन्वेषक	explorer, tracer
अन्वेषण	investigation, research
अन्वेषणात्मक	exploratory
अन्वेषी	wildcat
अप	up
अपकर्ष	degradation
अपकार	wrong
अपकार	ill, maltreatment
अपकारी	harmful, injurious
अपकीर्ति	discredit, dishonour
अपकीर्तिकर	ignominious, uncomplimentary
अपकेंद्री	centrifugal
अपक्व	raw, green
अपक्षपाती	impartial
अपक्षय	atrophy, withering
अपग्रेड	upgrade
अपघटन	decomposition
अपघर्षण	abrasion
अपच	dyspepsia, indigestion
अपचयन	reduction
अपचारी	derelict, delinquent
अपठनीय	unreadable
अपठित	undeciphered, unseen
अपढ़	unlearned, ineducable
अपतटीय	off shore
अपथ्य	unwholesome diet
अपदस्थ	in the wilderness
अपदूत	fiend, demon
अपधर्म	heresy
अपधर्मी	heretic
अपना	own, private
अपना	own
अपनाना	calculate, come round
अपनापन	oneness, kinship
अपने	he, she
अपनेआप	yourself
अपमान	disgrace, offence
अपमानजनक	undefying, derogatory
अपमानित	humiliated, affronted
अपमार्जक	scavenger
अपमार्जन	cleansing, ablutionary
अपमार्जन	deletion, ablution
